Geo Point;Geo Shape;gml_id;GID;GEOM_O;ADRESSE;TYPE;HANDI;CDATE;MDATE
44.895527784946566, -0.5660833523752452;"{""coordinates"": [-0.566083352375245, 44.895527784946566], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.5939;5939;0;Stade Matmut 1;SANITAIRE_AUTOMATIQUE;OUI;2019-05-06T02:00:00+02:00;2023-01-20T01:00:00+01:00
44.85410355773869, -0.5865845238958775;"{""coordinates"": [-0.586584523895877, 44.85410355773869], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.5962;5962;0;parc rivière;SANITAIRE_AUTOMATIQUE;OUI;2020-09-10T15:18:26+02:00;2023-01-20T14:18:57+01:00
44.90547223011638, -0.5657777298886195;"{""coordinates"": [-0.56577772988862, 44.90547223011638], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.5991;5991;0;Parc Floral;SANITAIRE_AUTOMATIQUE;OUI;2023-01-20T17:21:36+01:00;2023-01-20T17:21:36+01:00
44.85494447213328, -0.6001110706426314;"{""coordinates"": [-0.600111070642631, 44.85494447213328], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.5992;5992;0;Parc Bordelais;SANITAIRE_AUTOMATIQUE;OUI;2023-01-20T17:22:49+01:00;2023-01-20T17:22:49+01:00
44.848277813715235, -0.5770833554259144;"{""coordinates"": [-0.577083355425914, 44.848277813715235], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.5994;5994;0;Jardin Public 1;SANITAIRE_AUTOMATIQUE;OUI;2023-01-20T17:26:51+01:00;2023-01-20T17:26:51+01:00
44.84050823180015, -0.6068378734316406;"{""coordinates"": [-0.606837873431641, 44.84050823180015], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.6000;6000;0;Parc de Lussy;SANITAIRE_AUTOMATIQUE;OUI;2023-01-20T17:36:12+01:00;2023-01-20T17:36:12+01:00
44.85672222833412, -0.5792221947439258;"{""coordinates"": [-0.579222194743926, 44.85672222833412], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.5949;5949;0;Salle des fêtes du Grand Parc;SANITAIRE_AUTOMATIQUE;OUI;2019-05-06T02:00:00+02:00;2023-01-20T01:00:00+01:00
44.82294448751963, -0.5772222633307178;"{""coordinates"": [-0.577222263330718, 44.82294448751963], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.5986;5986;0;Place Simiot;URINOIR;NON;2023-01-20T17:12:06+01:00;2023-01-20T17:12:06+01:00
44.83150001509324, -0.5718055172109798;"{""coordinates"": [-0.57180551721098, 44.83150001509324], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.5987;5987;0;Rue Paul Broca;CHALET_DE_NECESSITE;NON;2023-01-20T17:14:49+01:00;2023-01-20T17:14:49+01:00
44.84311114122884, -0.5455277487421211;"{""coordinates"": [-0.545527748742121, 44.84311114122884], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.5989;5989;0;Rue Ferdinand Palau;URINOIR;NON;2023-01-20T17:18:20+01:00;2023-01-20T17:18:20+01:00
